Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07,11320.54981,11349.04981,11225.29981,11239.04981,11239.04981,10611400
2019-10-09,11263.79981,11431.40039,11200.9502,11423.65039,11423.65039,12048900
2019-10-10,11390.09961,11404.65039,11320.40039,11345,11345,12540100
2019-10-11,11368.90039,11468.9502,11299.5,11412.9502,11412.9502,11599900
2019-10-14,11444.59961,11530.59961,11403.90039,11455.7002,11455.7002,9732500
2019-10-15,11475.15039,11575.75,11457.65039,11544.4502,11544.4502,8972700
2019-10-16,11580.79981,11602.75,11537.54981,11588.65039,11588.65039,10935600
2019-10-17,11592.59961,11730.25,11567.29981,11718.34961,11718.34961,12691200
2019-10-18,11715.09961,11828.15039,11688.04981,11806.2002,11806.2002,12665700
2019-10-22,11806.04981,11863.54981,11733.5,11749.90039,11749.90039,12889800
2019-10-23,11758.84961,11812.9502,11713.90039,11762.4502,11762.4502,10471200
2019-10-24,11817.4502,11836.34961,11690.84961,11738.25,11738.25,16753900
2019-10-25,11794.5,11795.34961,11641.9502,11734.34961,11734.34961,14703700
2019-10-27,null,null,null,null,null,null
2019-10-29,11796.40039,11961.75,11779.75,11942.04981,11942.04981,16021000
2019-10-30,12033.40039,12038.09961,11943.09961,12002.9502,12002.9502,12904500
2019-10-31,12050.34961,12099.09961,12014.34961,12037.25,12037.25,21254900
2019-11-01,12049.25,12082.04981,12011.59961,12047.79981,12047.79981,19084400
2019-11-04,12084.15039,12140.59961,12056.34961,12089.15039,12089.15039,12471900
2019-11-05,12119.34961,12123.79981,12004.15039,12056.15039,12056.15039,10371100
2019-11-06,12051.59961,12139.59961,11991.04981,12104.2002,12104.2002,10295100
2019-11-07,12160.25,12161.59961,12090.34961,12152.9502,12152.9502,10508300
2019-11-08,12133.04981,12173.9502,12026.40039,12044.84961,12044.84961,13337500
2019-11-11,12015.90039,12071.04981,12000.5,12053.29981,12053.29981,9509300
2019-11-13,12053.65039,12099,11961.75,11980.65039,11980.65039,11597200
2019-11-14,11998.09961,12029.4502,11935.84961,12001.09961,12001.09961,13780800
2019-11-15,12034.54981,12096.09961,12008.54981,12022.79981,12022.79981,16539200
2019-11-18,12043.90039,12071.34961,11995.2002,12010.90039,12010.90039,12723500
2019-11-19,12041.40039,12071.9502,12000.84961,12054.7002,12054.7002,19064000
2019-11-20,12117.34961,12156.34961,12083.79981,12116.2002,12116.2002,26818000
2019-11-21,12146.04981,12148.25,12070.90039,12082.7002,12082.7002,16540800
2019-11-22,12083.2002,12083.9502,11999.5,12031.2002,12031.2002,11464800
2019-11-25,12039.9502,12203.15039,12037.29981,12192.65039,12192.65039,12956900
2019-11-26,12230.9502,12255.15039,12117.59961,12150.7002,12150.7002,29473900
2019-11-27,12183,12230.59961,12172,12217.5,12217.5,11725600
2019-11-28,12246.75,12286.59961,12216.34961,12278.4502,12278.4502,15706000
2019-11-29,12275.9502,12277.29981,12145.59961,12182.59961,12182.59961,16038100
2019-12-02,12255.40039,12255.5,12147.7002,12175.15039,12175.15039,24348300
2019-12-03,12196.15039,12196.90039,12079.15039,12115.79981,12115.79981,15606500
2019-12-04,12089.25,12172.04981,12057.65039,12160.84961,12160.84961,16707200
2019-12-05,12183.90039,12190.79981,12106.90039,12126.5,12126.5,10709200
2019-12-06,12156.15039,12166.04981,11990.29981,12024.9502,12024.9502,13386400
2019-12-09,12041.25,12082.25,11987.29981,12033.29981,12033.29981,11153200
2019-12-10,12046.40039,12049.34961,11935,11945.79981,11945.79981,12223500
2019-12-11,11957.75,12013.29981,11918.9502,11999.9502,11999.9502,14151800
2019-12-12,12037.9502,12099.04981,12026.40039,12065.84961,12065.84961,10618000
2019-12-13,12120.15039,12194.59961,12118.25,12182.7002,12182.7002,11316100
2019-12-16,12222.84961,12226,12137.40039,12144.84961,12144.84961,7735300
2019-12-17,12173.40039,12266.15039,12160.90039,12248.9502,12248.9502,9725600
2019-12-18,12280.04981,12319.2002,12240.75,12304.25,12304.25,10296800
2019-12-19,12306.7002,12352.65039,12280.34961,12343.84961,12343.84961,10072300
2019-12-20,12351.90039,12378.79981,12340.04981,12363.40039,12363.40039,12032900
2019-12-23,12330.34961,12381.40039,12304.40039,12354.9502,12354.9502,9020800
2019-12-24,12362.25,12375,12300.29981,12312.09961,12312.09961,7256600
2019-12-26,12311.25,12319.54981,12221.65039,12229.15039,12229.15039,8657300
2019-12-27,12273.9502,12355.65039,12259.34961,12344.59961,12344.59961,7111800
2019-12-30,12373.04981,12387.29981,12313.09961,12354.25,12354.25,7107800
2019-12-31,12347.25,12347.25,12252.54981,12267.75,12267.75,7537800
2020-01-01,12299.84961,12320.75,12263.2002,12279.04981,12279.04981,4462500
2020-01-02,12294.9502,12387.65039,12292.2002,12380.5,12380.5,6457800
2020-01-03,12359.7002,12368.59961,12292.40039,12328.59961,12328.59961,6716700
2020-01-06,12270.25,12278.25,12070.75,12090.59961,12090.59961,6527600
2020-01-07,12174.65039,12255.75,12106.29981,12154.9502,12154.9502,7360500
2020-01-08,12034.40039,12145,12026.79981,12131.4502,12131.4502,9489600
2020-01-09,12259.54981,12328.25,12241.75,12319.7002,12319.7002,10534000
2020-01-10,12372,12412.9502,12316.59961,12359.7002,12359.7002,9394800
2020-01-13,12401.15039,12442.54981,12391.5,12436.4502,12436.4502,7836600
2020-01-14,12442.59961,12480.4502,12417.7002,12468.54981,12468.54981,8384000
2020-01-15,12458.29981,12470.34961,12392.54981,12458.84961,12458.84961,9749700
2020-01-16,12468.59961,12506.40039,12431.5,12470.59961,12470.59961,7327100
2020-01-17,12445.75,12500.9502,12439.15039,12471.15039,12471.15039,17092900
2020-01-20,12544.40039,12544.40039,12335.09961,12343.2002,12343.2002,10637500
2020-01-21,12314.4502,12349.40039,12279.5,12287.25,12287.25,12564900
2020-01-22,12335.09961,12341.09961,12213.65039,12230.84961,12230.84961,10800
2020-01-23,12248.2002,12321.40039,12220.7002,12312.90039,12312.90039,16992500
2020-01-24,12307.25,12410.79981,12282.7002,12386.9502,12386.9502,9372400
2020-01-27,12336.75,12363.15039,12249.4502,12262.65039,12262.65039,7503000
2020-01-28,12292.40039,12311,12175.79981,12203.2002,12203.2002,9129900
2020-01-29,12262.75,12312.59961,12251.29981,12276.9502,12276.9502,8638600
2020-01-30,12295.09961,12297.29981,12144.25,12165.40039,12165.40039,9645000
2020-01-31,12228.9502,12232.5,12071,12086.90039,12086.90039,11479000
2020-02-03,11736.59961,11864.29981,11719.25,11820.29981,11820.29981,10318300
2020-02-04,11900.04981,12099.34961,11898.90039,12091,12091,9029600
2020-02-05,12121.04981,12219.9502,12071.90039,12212,12212,10961100
2020-02-06,12243.9502,12295.2002,12211.59961,12273.7002,12273.7002,10135600
2020-02-07,12286.84961,12290.15039,12223.7002,12249.25,12249.25,8399800
2020-02-10,12253.9502,12254.9502,12144.04981,12185.34961,12185.34961,8278500
2020-02-11,12260.2002,12317.7002,12237.79981,12246.2002,12246.2002,8266400
2020-02-12,12288.15039,12362,12282.2002,12327.7002,12327.7002,9317200
2020-02-13,12342.25,12347.09961,12266.25,12301.75,12301.75,7942100
2020-02-14,12314.25,12369.40039,12210.04981,12230.4502,12230.4502,22140600
